,fail_mean,all_mean,lessfails_mean,fail_count,all_count,lessfails_count,fail_std,all_std,lessfails_std,fail_median,all_median,lessfails_median
L0_S2_F60,0.23271490633487701,0.22910796105861664,0.22908799350261688,1817.0,339774.0,337957.0,0.1441960632801056,0.14305366575717926,0.14304549992084503,0.21199999749660492,0.21299999952316284,0.21299999952316284
L0_S2_F64,0.047837089747190475,0.04967297241091728,0.04968275502324104,1817.0,339774.0,337957.0,0.03409415856003761,0.033683545887470245,0.03368579223752022,0.05400000140070915,0.0560000017285347,0.0560000017285347
L0_S3_F68,0.026939505711197853,0.027857983484864235,0.027863863855600357,1792.0,334708.0,332916.0,0.03543172776699066,0.038243357092142105,0.03825553506612778,0.008999999612569809,0.008999999612569809,0.008999999612569809
L0_S3_F72,0.21764104068279266,0.21438343822956085,0.21436554193496704,1792.0,334708.0,332916.0,0.1360446661710739,0.1386910080909729,0.13870808482170105,0.20200000703334808,0.20000000298023224,0.20000000298023224
L0_S3_F76,0.05099952593445778,0.05187961831688881,0.05188542976975441,1792.0,334708.0,332916.0,0.009656389243900776,0.018787220120429993,0.018823767080903053,0.050999999046325684,0.050999999046325684,0.050999999046325684
L0_S3_F80,0.23140862584114075,0.23259465396404266,0.2326003462076187,1792.0,334708.0,332916.0,0.1268703043460846,0.1277933269739151,0.12779538333415985,0.2409999966621399,0.2409999966621399,0.2409999966621399
L0_S3_F84,0.003953104373067617,0.003944326192140579,0.003944311756640673,1792.0,334708.0,332916.0,0.005315945018082857,0.009255724959075451,0.009272413328289986,0.003000000026077032,0.003000000026077032,0.003000000026077032
L0_S3_F88,0.0,5.9753576351795346e-05,6.007521369610913e-05,1792.0,334708.0,332916.0,0.0,0.0077295987866818905,0.007750371005386114,0.0,0.0,0.0
L0_S3_F92,0.040717657655477524,0.040721338242292404,0.040722981095314026,1792.0,334708.0,332916.0,0.03423516824841499,0.03606541454792023,0.03607568144798279,0.01899999938905239,0.01899999938905239,0.01899999938905239
L0_S3_F96,0.21692714095115662,0.21351633965969086,0.21349823474884033,1792.0,334708.0,332916.0,0.13136103749275208,0.12994512915611267,0.12993477284908295,0.21400000154972076,0.210999995470047,0.210999995470047
L0_S3_F100,0.03652671352028847,0.0406891405582428,0.040711410343647,1792.0,334708.0,332916.0,0.032271016389131546,0.03327484801411629,0.033276863396167755,0.028999999165534973,0.03099999949336052,0.03099999949336052
L0_S4_F104,0.05336220562458038,0.04395833984017372,0.043907810002565384,1800.0,335295.0,333495.0,0.03860315680503845,0.034975435584783554,0.03494533896446228,0.05700000002980232,0.03400000184774399,0.03400000184774399
L0_S4_F109,0.012226089835166931,0.010461989790201187,0.010452553629875183,1800.0,335243.0,333443.0,0.010725443251430988,0.010688732378184795,0.010686473920941353,0.008999999612569809,0.00800000037997961,0.00800000037997961
L0_S5_F114,0.10260022431612015,0.10546807199716568,0.1054840087890625,1811.0,339512.0,337701.0,0.07617706805467606,0.07572390139102936,0.07571817189455032,0.06700000166893005,0.08399999886751175,0.08399999886751175
L0_S5_F116,0.11748426407575607,0.12459879368543625,0.12463691830635071,1811.0,339512.0,337701.0,0.08109543472528458,0.08878596127033234,0.08882279694080353,0.10700000077486038,0.1120000034570694,0.1120000034570694
L0_S6_F118,0.22902195155620575,0.22791551053524017,0.22790950536727905,1805.0,338988.0,337183.0,0.08715493232011795,0.09337060153484344,0.09340152889490128,0.164000004529953,0.164000004529953,0.164000004529953
L0_S6_F122,0.3050050735473633,0.31275421380996704,0.3127953112125397,1805.0,338988.0,337183.0,0.13398179411888123,0.13817863166332245,0.13820017874240875,0.2840000092983246,0.28999999165534973,0.28999999165534973
L0_S6_F132,0.09533559530973434,0.09861375391483307,0.09863098710775375,1805.0,338988.0,337183.0,0.03933854401111603,0.03708147630095482,0.03706543147563934,0.09799999743700027,0.0989999994635582,0.0989999994635582
L0_S7_F136,0.20990420877933502,0.22057782113552094,0.22063538432121277,1805.0,335698.0,333893.0,0.07968917489051819,0.08141855150461197,0.08147335052490234,0.164000004529953,0.164000004529953,0.164000004529953
L0_S7_F138,0.28646036982536316,0.3146020472049713,0.31475475430488586,1805.0,335698.0,333893.0,0.1641523838043213,0.1649111956357956,0.16490651667118073,0.31200000643730164,0.3529999852180481,0.3529999852180481
L0_S7_F142,0.02762654982507229,0.027705185115337372,0.0277059655636549,1805.0,335698.0,333893.0,0.02669599838554859,0.026738522574305534,0.02673877775669098,0.020999999716877937,0.020999999716877937,0.020999999716877937
L0_S8_F144,0.1957748383283615,0.2154989093542099,0.21560725569725037,3606.0,673881.0,670275.0,0.07671070843935013,0.08722642809152603,0.08709720522165298,0.15700000524520874,0.15700000524520874,0.15700000524520874
L0_S8_F146,0.00014170825306791812,7.321207522181794e-05,7.284354069270194e-05,3606.0,673881.0,670275.0,0.006522026378661394,0.003350435057654977,0.00332521740347147,0.0,0.0,0.0
L0_S8_F149,0.002003277884796262,0.0022122133523225784,0.0022134773898869753,3606.0,673881.0,670275.0,0.028024006634950638,0.02853715419769287,0.02853996679186821,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513
L0_S9_F155,0.048680540174245834,0.046417586505413055,0.046405598521232605,1196.0,225659.0,224463.0,0.03672724589705467,0.03547532111406326,0.03546827286481857,0.041999999433755875,0.03999999910593033,0.03999999910593033
L0_S9_F160,0.05553008243441582,0.05577714368700981,0.05577851086854935,1196.0,225678.0,224482.0,0.03911733627319336,0.04057767987251282,0.04058508202433586,0.04899999871850014,0.05000000074505806,0.05000000074505806
L0_S9_F165,0.015459027141332626,0.01603497378528118,0.01603809930384159,1196.0,225671.0,224475.0,0.01161102019250393,0.013855899684131145,0.013866445980966091,0.014000000432133675,0.014000000432133675,0.014000000432133675
L0_S9_F170,0.04927167668938637,0.053691886365413666,0.0537155345082283,1196.0,225678.0,224482.0,0.044376522302627563,0.04683335870504379,0.04684637859463692,0.03849999979138374,0.041999999433755875,0.041999999433755875
L0_S9_F175,0.0012750816531479359,0.0012723796535283327,0.0012723298277705908,1196.0,225659.0,224463.0,0.0008680750033818185,0.0022366386838257313,0.0022416922729462385,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513
L0_S9_F180,0.025985784828662872,0.025576287880539894,0.025574196130037308,1196.0,225659.0,224463.0,0.017526984214782715,0.0197418462485075,0.019753707572817802,0.024000000208616257,0.023000000044703484,0.023000000044703484
L0_S9_F185,0.043862003833055496,0.05179181694984436,0.05183413252234459,1196.0,225659.0,224463.0,0.04006384313106537,0.046756062656641006,0.04678081348538399,0.032999999821186066,0.03700000047683716,0.03700000047683716
L0_S9_F190,0.009839453734457493,0.01009061373770237,0.010092009790241718,1196.0,225659.0,224463.0,0.007694317027926445,0.008921737782657146,0.008928141556680202,0.008999999612569809,0.008999999612569809,0.008999999612569809
L0_S9_F195,0.11223826557397842,0.11261279135942459,0.11261463165283203,1196.0,225659.0,224463.0,0.07619759440422058,0.07743388414382935,0.0774400532245636,0.0989999994635582,0.10199999809265137,0.10199999809265137
L0_S9_F200,0.02816053479909897,0.034191738814115524,0.03422389551997185,1196.0,225659.0,224463.0,0.026776911690831184,0.03190670534968376,0.031930163502693176,0.01899999938905239,0.02199999988079071,0.02199999988079071
L0_S9_F205,0.00012207367399241775,0.0001752418902469799,0.00017552555073052645,1196.0,225659.0,224463.0,0.00032750688842497766,0.004646793939173222,0.004659102763980627,0.0,0.0,0.0
L0_S9_F210,0.003673077328130603,0.003535731229931116,0.003535008290782571,1196.0,225659.0,224463.0,0.0028143697418272495,0.011426613666117191,0.011455421335995197,0.003000000026077032,0.003000000026077032,0.003000000026077032
L0_S10_F219,0.017970558255910873,0.017882902175188065,0.017882460728287697,1223.0,224523.0,223300.0,0.020920954644680023,0.01504881028085947,0.015009905211627483,0.014000000432133675,0.014999999664723873,0.014999999664723873
L0_S10_F224,0.04875057563185692,0.05205467715859413,0.05207289010286331,1223.0,224540.0,223317.0,0.04742061346769333,0.049699023365974426,0.049708232283592224,0.03700000047683716,0.03999999910593033,0.03999999910593033
L0_S10_F229,0.01538756862282753,0.015316823497414589,0.015316484495997429,1223.0,224527.0,223304.0,0.021873800083994865,0.014437500387430191,0.014386041089892387,0.012000000104308128,0.013000000268220901,0.013000000268220901
L0_S10_F234,0.005105472169816494,0.005271630361676216,0.005272537935525179,1223.0,224540.0,223317.0,0.004074533935636282,0.006537622306495905,0.006548427976667881,0.004000000189989805,0.004000000189989805,0.004000000189989805
L0_S10_F239,0.024558400735259056,0.0255313478410244,0.0255364328622818,1223.0,224523.0,223300.0,0.017490984871983528,0.019403811544179916,0.01941271685063839,0.019999999552965164,0.019999999552965164,0.019999999552965164
L0_S10_F244,0.02449961006641388,0.02534167282283306,0.02534635365009308,1223.0,224523.0,223300.0,0.016347507014870644,0.01812666654586792,0.01813536509871483,0.02199999988079071,0.023000000044703484,0.023000000044703484
L0_S10_F249,0.034268200397491455,0.03284377232193947,0.03283608332276344,1223.0,224523.0,223300.0,0.028776656836271286,0.029414981603622437,0.02941708266735077,0.02800000086426735,0.026000000536441803,0.026000000536441803
L0_S10_F254,0.02878657355904579,0.028318025171756744,0.028315553441643715,1223.0,224523.0,223300.0,0.021851953119039536,0.02251313626766205,0.022515246644616127,0.023000000044703484,0.023000000044703484,0.023000000044703484
L0_S10_F259,0.10296406596899033,0.0993911623954773,0.09937138855457306,1223.0,224523.0,223300.0,0.06873819231987,0.06549829244613647,0.0654795691370964,0.08900000154972076,0.08799999952316284,0.08799999952316284
L0_S10_F264,0.0041578044183552265,0.004066579043865204,0.00406608683988452,1223.0,224523.0,223300.0,0.004062183666974306,0.00471703615039587,0.004720371216535568,0.003000000026077032,0.003000000026077032,0.003000000026077032
L0_S10_F269,7.849551911931485e-05,0.00031933296122588217,0.00032065226696431637,1223.0,224523.0,223300.0,0.000269060954451561,0.008813011460006237,0.008837069384753704,0.0,0.0,0.0
L0_S10_F274,0.0014873306499794126,0.0014719056198373437,0.0014717929298058152,1223.0,224523.0,223300.0,0.001549920067191124,0.007194008212536573,0.007213026285171509,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513
L0_S11_F282,0.09345094114542007,0.09022334218025208,0.09020588546991348,1193.0,225452.0,224259.0,0.06865519285202026,0.06749968975782394,0.06749211996793747,0.07999999821186066,0.07699999958276749,0.07699999958276749
L0_S11_F286,0.07733447849750519,0.07353256642818451,0.07351215928792953,1193.0,225452.0,224259.0,0.05939208343625069,0.057583604007959366,0.05757083371281624,0.06599999964237213,0.06199999898672104,0.06199999898672104
L0_S11_F290,0.014314336702227592,0.013076149858534336,0.013069615699350834,1193.0,225452.0,224259.0,0.02796630747616291,0.011120850220322609,0.010961085557937622,0.010999999940395355,0.010999999940395355,0.010999999940395355
L0_S11_F294,0.08852393180131912,0.09041622281074524,0.09042608737945557,1193.0,225452.0,224259.0,0.07001664489507675,0.0677858516573906,0.06777389347553253,0.07900000363588333,0.08100000023841858,0.08100000023841858
L0_S11_F298,0.1389470100402832,0.13558761775493622,0.13557080924510956,1193.0,225452.0,224259.0,0.0941515788435936,0.09380467981100082,0.09380238503217697,0.1120000034570694,0.1120000034570694,0.1120000034570694
L0_S11_F302,0.12721441686153412,0.12548600137233734,0.1254766583442688,1193.0,225452.0,224259.0,0.08498954027891159,0.08388355374336243,0.08388031274080276,0.12200000137090683,0.11299999803304672,0.11299999803304672
L0_S11_F306,0.07898325473070145,0.07124629616737366,0.07120520621538162,1193.0,225452.0,224259.0,0.0625445544719696,0.05784691497683525,0.05782179906964302,0.06499999761581421,0.057999998331069946,0.057999998331069946
L0_S11_F310,0.08549879491329193,0.08248620480298996,0.08246997743844986,1193.0,225452.0,224259.0,0.06760077178478241,0.07049552351236343,0.0705089271068573,0.07400000095367432,0.06400000303983688,0.06400000303983688
L0_S11_F314,0.16121624410152435,0.15613029897212982,0.1561032086610794,1193.0,225452.0,224259.0,0.11417932063341141,0.11550202965736389,0.11550956219434738,0.14000000059604645,0.1289999932050705,0.1289999932050705
L0_S11_F318,0.061093851923942566,0.05642174929380417,0.0563969761133194,1193.0,225452.0,224259.0,0.05540555343031883,0.050851233303546906,0.05082662031054497,0.04800000041723251,0.04500000178813934,0.04500000178813934
L0_S11_F322,0.11632446199655533,0.11494065821170807,0.11493360251188278,1193.0,225452.0,224259.0,0.0809527263045311,0.07780800759792328,0.07779182493686676,0.10300000011920929,0.10499999672174454,0.10499999672174454
L0_S11_F326,0.07383659482002258,0.07404408603906631,0.07404494285583496,1193.0,225452.0,224259.0,0.06424979120492935,0.0679612010717392,0.06797950714826584,0.0560000017285347,0.05400000140070915,0.05400000140070915
L0_S12_F330,0.05945417657494545,0.058393049985170364,0.05838717147707939,1323.0,242061.0,240738.0,0.0382436141371727,0.039179764688014984,0.03918393328785896,0.05700000002980232,0.05299999937415123,0.05299999937415123
L0_S12_F332,0.06960082054138184,0.06966707855463028,0.06966753304004669,1323.0,242061.0,240738.0,0.04511816054582596,0.04700840264558792,0.04701872542500496,0.06199999898672104,0.06199999898672104,0.06199999898672104
L0_S12_F334,0.09551167488098145,0.09420792758464813,0.0942009687423706,1323.0,242061.0,240738.0,0.037514425814151764,0.037922102957963943,0.03791704401373863,0.07400000095367432,0.07400000095367432,0.07400000095367432
L0_S12_F336,0.22660967707633972,0.22251737117767334,0.22249537706375122,1323.0,242061.0,240738.0,0.0890875980257988,0.0893276035785675,0.0893259346485138,0.17499999701976776,0.17499999701976776,0.17499999701976776
L0_S12_F338,0.05665220320224762,0.05964302271604538,0.059659820050001144,1323.0,242061.0,240738.0,0.04781855270266533,0.05167300999164581,0.051689352840185165,0.05299999937415123,0.05299999937415123,0.05299999937415123
L0_S12_F340,0.07391577959060669,0.07960446178913116,0.07963746786117554,1323.0,242061.0,240738.0,0.06544096767902374,0.07049937546253204,0.07051163166761398,0.07699999958276749,0.07699999958276749,0.07699999958276749
L0_S12_F342,0.01155098807066679,0.011132199317216873,0.011129901744425297,1323.0,242061.0,240738.0,0.006945709232240915,0.00735321594402194,0.007355952635407448,0.009999999776482582,0.009999999776482582,0.009999999776482582
L0_S12_F344,0.08901593834161758,0.08605234324932098,0.08603616803884506,1323.0,242061.0,240738.0,0.05365243926644325,0.05486966669559479,0.05485730245709419,0.08399999886751175,0.08399999886751175,0.08399999886751175
L0_S12_F346,0.07826078683137894,0.07962293922901154,0.07963024824857712,1323.0,242061.0,240738.0,0.05978787690401077,0.05905584245920181,0.05904776602983475,0.06400000303983688,0.07000000029802322,0.07000000029802322
L0_S12_F348,0.0848601832985878,0.08764031529426575,0.08765549212694168,1323.0,242061.0,240738.0,0.06252648681402206,0.06269586831331253,0.0626915916800499,0.07100000232458115,0.07599999755620956,0.07599999755620956
L0_S12_F350,0.19419588148593903,0.20469193160533905,0.20474973320960999,1323.0,242061.0,240738.0,0.1237470880150795,0.12503331899642944,0.12504029273986816,0.17800000309944153,0.1979999989271164,0.1979999989271164
L0_S12_F352,0.19417624175548553,0.2046709656715393,0.20472872257232666,1323.0,242061.0,240738.0,0.12374121695756912,0.12502098083496094,0.1250263750553131,0.17800000309944153,0.1979999989271164,0.1979999989271164
L0_S13_F354,0.10271657258272171,0.10034021735191345,0.10032706707715988,1323.0,242065.0,240742.0,0.07492195069789886,0.07213139533996582,0.07211843878030777,0.09200000017881393,0.09399999678134918,0.09399999678134918
L0_S13_F356,0.1258239895105362,0.12331142276525497,0.12329749763011932,1323.0,242065.0,240742.0,0.08780267834663391,0.0879351869225502,0.08793579041957855,0.10899999737739563,0.10899999737739563,0.10899999737739563
L0_S14_F358,0.05129097029566765,0.05029786750674248,0.05029185861349106,681.0,120625.0,119944.0,0.023654185235500336,0.031063826754689217,0.031102944165468216,0.032999999821186066,0.032999999821186066,0.032999999821186066
L0_S14_F362,0.2747900187969208,0.27382075786590576,0.2738153338432312,681.0,120625.0,119944.0,0.12130465358495712,0.12524548172950745,0.12526686489582062,0.30000001192092896,0.30000001192092896,0.30000001192092896
L0_S14_F366,0.04543045535683632,0.046732109040021896,0.046738892793655396,681.0,120625.0,119944.0,0.02398877777159214,0.030773811042308807,0.03081933967769146,0.03400000184774399,0.03400000184774399,0.03400000184774399
L0_S14_F370,0.1986415982246399,0.19361932575702667,0.19359087944030762,681.0,120625.0,119944.0,0.1353778839111328,0.1324426680803299,0.13242658972740173,0.18299999833106995,0.17399999499320984,0.17399999499320984
L0_S14_F374,0.0031350981444120407,0.003403946990147233,0.0034054522402584553,681.0,120625.0,119944.0,0.002525042975321412,0.005564020946621895,0.00557668088003993,0.0020000000949949026,0.003000000026077032,0.003000000026077032
L0_S14_F378,0.0,2.487046549504157e-05,2.5011671823449433e-05,681.0,120625.0,119944.0,0.0,0.004986954852938652,0.00500109139829874,0.0,0.0,0.0
L0_S14_F382,0.06057259812951088,0.05911994352936745,0.059112247079610825,681.0,120625.0,119944.0,0.02286766842007637,0.029266757890582085,0.02929994836449623,0.0689999982714653,0.0430000014603138,0.0430000014603138
L0_S14_F386,0.2110118269920349,0.21585014462471008,0.21587763726711273,681.0,120625.0,119944.0,0.12392957508563995,0.1269286721944809,0.12694324553012848,0.2160000056028366,0.22300000488758087,0.22300000488758087
L0_S14_F390,0.03655214235186577,0.039775747805833817,0.03979425132274628,681.0,120625.0,119944.0,0.029639560729265213,0.03678435459733009,0.036818087100982666,0.029999999329447746,0.03400000184774399,0.03500000014901161
L0_S15_F394,0.03093118406832218,0.033643122762441635,0.03365771099925041,640.0,121445.0,120805.0,0.03472786396741867,0.03700866550207138,0.03701397031545639,0.012000000104308128,0.012000000104308128,0.012000000104308128
L0_S15_F397,0.22080931067466736,0.2213868498802185,0.22138991951942444,640.0,121445.0,120805.0,0.14776349067687988,0.14810390770435333,0.1481061726808548,0.1979999989271164,0.19499999284744263,0.19499999284744263
L0_S15_F400,0.055025022476911545,0.057327598333358765,0.05734073370695114,640.0,121445.0,120805.0,0.02072245255112648,0.025775056332349777,0.025795569643378258,0.052000001072883606,0.052000001072883606,0.052000001072883606
L0_S15_F403,0.2485920935869217,0.2487153708934784,0.2487158179283142,640.0,121445.0,120805.0,0.1285838633775711,0.1279495507478714,0.12794668972492218,0.26350000500679016,0.2669999897480011,0.2669999897480011
L0_S15_F406,0.003967191092669964,0.0036773313768208027,0.0036757788620889187,640.0,121445.0,120805.0,0.0028146454133093357,0.003968622535467148,0.0039738817140460014,0.004000000189989805,0.003000000026077032,0.003000000026077032
L0_S15_F409,0.0,8.234180313593242e-06,8.277803317469079e-06,640.0,121445.0,120805.0,0.0,0.002869518706575036,0.002877109684050083,0.0,0.0,0.0
L0_S15_F412,0.030278032645583153,0.031139206141233444,0.03114408254623413,640.0,121445.0,120805.0,0.03320244327187538,0.03432781249284744,0.03432827442884445,0.013000000268220901,0.013000000268220901,0.013000000268220901
L0_S15_F415,0.2127642184495926,0.2095927596092224,0.20957602560520172,640.0,121445.0,120805.0,0.14625272154808044,0.14438684284687042,0.14437958598136902,0.1834999918937683,0.18700000643730164,0.18700000643730164
L0_S15_F418,0.11253907531499863,0.11641286313533783,0.11643323302268982,640.0,121445.0,120805.0,0.12038511037826538,0.12837794423103333,0.12842124700546265,0.05700000002980232,0.04800000041723251,0.04800000041723251
L0_S16_F421,0.11377009749412537,0.11156538128852844,0.11155316233634949,661.0,119139.0,118478.0,0.09345909208059311,0.09850923717021942,0.09853608906269073,0.09600000083446503,0.08699999749660492,0.08699999749660492
L0_S16_F426,0.022748861461877823,0.020800035446882248,0.020789194852113724,661.0,119139.0,118478.0,0.01571817509829998,0.016011446714401245,0.01601302996277809,0.01899999938905239,0.017999999225139618,0.017999999225139618
L0_S17_F431,0.11195618659257889,0.13198736310005188,0.13209576904773712,662.0,123027.0,122365.0,0.08084191381931305,0.08589642494916916,0.08590663969516754,0.09300000220537186,0.13899999856948853,0.13899999856948853
L0_S17_F433,0.13887301087379456,0.1430923193693161,0.14311528205871582,662.0,123027.0,122365.0,0.08890984207391739,0.08634070307016373,0.08632594347000122,0.13099999725818634,0.13699999451637268,0.13699999451637268
L0_S18_F435,0.01808883063495159,0.019046388566493988,0.01905154064297676,654.0,121081.0,120427.0,0.042399633675813675,0.04508676379919052,0.0450979508459568,0.009999999776482582,0.009999999776482582,0.009999999776482582
L0_S18_F439,0.1456666886806488,0.14712464809417725,0.1471325010061264,654.0,121081.0,120427.0,0.11266260594129562,0.11991791427135468,0.11995597928762436,0.12350000441074371,0.12099999934434891,0.12099999934434891
L0_S18_F449,0.03974162042140961,0.05013378709554672,0.0501902736723423,654.0,121081.0,120427.0,0.0558660551905632,0.07323946058750153,0.07331202179193497,0.028999999165534973,0.028999999165534973,0.028999999165534973
L0_S19_F453,0.08156628161668777,0.08004787564277649,0.08003968000411987,669.0,121027.0,120358.0,0.11868998408317566,0.11765263974666595,0.11764796823263168,0.04399999976158142,0.04399999976158142,0.04399999976158142
L0_S19_F455,0.18498046696186066,0.17561064660549164,0.17555850744247437,669.0,121027.0,120358.0,0.14386045932769775,0.14461109042167664,0.14461979269981384,0.15000000596046448,0.13600000739097595,0.13600000739097595
L0_S19_F459,0.07897753268480301,0.07523707300424576,0.07521657645702362,669.0,121027.0,120358.0,0.0834035724401474,0.08301703631877899,0.08301148563623428,0.04800000041723251,0.04399999976158142,0.04399999976158142
L0_S20_F461,0.3064729869365692,0.31567612290382385,0.3157326281070709,1323.0,242111.0,240788.0,0.2332344502210617,0.24062268435955048,0.24066482484340668,0.19699999690055847,0.19699999690055847,0.19699999690055847
L0_S20_F463,2.191987914557103e-05,3.99982018279843e-05,4.0097533201333135e-05,1323.0,242111.0,240788.0,0.0007972882594913244,0.0032050341833382845,0.0032132845371961594,0.0,0.0,0.0
L0_S20_F466,0.0003401360590942204,0.00030555829289369285,0.00030536833219230175,1323.0,242111.0,240788.0,0.012371866963803768,0.013688662089407444,0.013695593923330307,0.0,0.0,0.0
L0_S21_F472,0.04806072637438774,0.04906052350997925,0.04906622692942619,461.0,81368.0,80907.0,0.035538967698812485,0.036069657653570175,0.03607269003987312,0.04100000113248825,0.041999999433755875,0.041999999433755875
L0_S21_F477,0.05525600165128708,0.05242982506752014,0.05241377279162407,461.0,81409.0,80948.0,0.05809047818183899,0.04769568145275116,0.047631073743104935,0.039000000804662704,0.03999999910593033,0.03999999910593033
L0_S21_F482,0.04319959133863449,0.0429474376142025,0.04294600337743759,461.0,81373.0,80912.0,0.030497387051582336,0.03225388750433922,0.03226423263549805,0.039000000804662704,0.03700000047683716,0.03700000047683716
L0_S21_F487,0.05618220195174217,0.05196193978190422,0.05193797126412392,461.0,81409.0,80948.0,0.05949181690812111,0.04857601970434189,0.0485052727162838,0.041999999433755875,0.03999999910593033,0.03999999910593033
L0_S21_F492,0.02619517594575882,0.026673832908272743,0.026676757261157036,461.0,81368.0,80907.0,0.01613423228263855,0.01994268409907818,0.01996184140443802,0.026000000536441803,0.026000000536441803,0.026000000536441803
L0_S21_F497,0.024737529456615448,0.02520560286939144,0.02520827390253544,461.0,81368.0,80907.0,0.015813680365681648,0.019460637122392654,0.019479483366012573,0.023000000044703484,0.023000000044703484,0.023000000044703484
L0_S21_F502,0.0474967360496521,0.044848937541246414,0.044833872467279434,461.0,81368.0,80907.0,0.035327013581991196,0.03771720826625824,0.03772825002670288,0.03999999910593033,0.035999998450279236,0.035999998450279236
